"","sample","target","d0","cy0","eff","group","norm.f","d0.norm"
"67","sat.1","pax7a",1.088952e-08,23.58,1.887153,"sat",1.61153806684415e-06,0.00675722170269596
"68","sat.2","pax7a",1.127149e-08,23.54,1.834911,"sat",1.35204235470755e-06,0.0083366397219398
"69","sat.3","pax7a",9.614834e-09,23.78,1.855655,"sat",1.27513511141791e-06,0.00754024723647413
"70","ab.1","pax7a",4.600451e-09,24.84,1.856314,"ab",1.34315279762361e-06,0.00342511366401456
"71","ab.2","pax7a",4.013416e-09,25.03,1.859346,"ab",1.2926842390856e-06,0.00310471488601033
"72","ab.3","pax7a",4.437474e-09,24.88,1.849276,"ab",1.48184055312042e-06,0.00299456914622541
"73","sat.1","gli1",5.718902e-09,24.45,1.739683,"sat",1.61153806684415e-06,0.00354872287391835
"74","sat.2","gli1",4.66581e-09,24.88,1.823684,"sat",1.35204235470755e-06,0.00345093479043356
"75","sat.3","gli1",4.597755e-09,24.89,1.83042,"sat",1.27513511141791e-06,0.00360570025782402
"76","ab.1","gli1",8.562766e-09,24.01,1.805308,"ab",1.34315279762361e-06,0.006375124271155
"77","ab.2","gli1",7.516103e-09,24.18,1.831974,"ab",1.2926842390856e-06,0.00581433792781184
"78","ab.3","gli1",9.287684e-09,23.89,1.808496,"ab",1.48184055312042e-06,0.00626766758437151
"79","sat.1","gli1",5.096527e-09,24.74,1.805337,"sat",1.61153806684415e-06,0.00316252349532173
"80","sat.2","gli1",4.68637e-09,24.86,1.826068,"sat",1.35204235470755e-06,0.00346614141464057
"81","sat.3","gli1",4.62342e-09,24.89,1.82621,"sat",1.27513511141791e-06,0.00362582753670622
"82","ab.1","gli1",8.547974e-09,24.01,1.821715,"ab",1.34315279762361e-06,0.00636411137669789
"83","ab.2","gli1",7.732145e-09,24.16,1.802591,"ab",1.2926842390856e-06,0.00598146458834328
"84","ab.3","gli1",9.235491e-09,23.88,1.821875,"ab",1.48184055312042e-06,0.00623244584618241
"85","sat.1","axin2",1.043794e-11,33.77,1.810967,"sat",1.61153806684415e-06,6.47700492762199e-06
"86","sat.2","axin2",1.093479e-11,33.71,1.836928,"sat",1.35204235470755e-06,8.087609061896e-06
"87","sat.3","axin2",6.972424e-12,34.45,1.8032,"sat",1.27513511141791e-06,5.46798840183054e-06
"88","ab.1","axin2",5.544786e-12,34.85,1.775889,"ab",1.34315279762361e-06,4.12818706092873e-06
"89","ab.2","axin2",5.245998e-12,34.97,1.774301,"ab",1.2926842390856e-06,4.05822074825545e-06
"90","ab.3","axin2",7.186984e-12,34.4,1.80825,"ab",1.48184055312042e-06,4.85003867984706e-06
"91","sat.1","axin2",9.775692e-12,33.9,1.815003,"sat",1.61153806684415e-06,6.06606334726152e-06
"92","sat.2","axin2",7.941524e-12,34.23,1.809745,"sat",1.35204235470755e-06,5.87372427524119e-06
"93","sat.3","axin2",8.543759e-12,34.12,1.815191,"sat",1.27513511141791e-06,6.70027742432693e-06
"94","ab.1","axin2",6.622814e-12,34.54,1.794566,"ab",1.34315279762361e-06,4.93079716002342e-06
"95","ab.2","axin2",5.766124e-12,34.78,1.777358,"ab",1.2926842390856e-06,4.46058196244332e-06
